LCBO_id,Price,Name,Description,Size,Alcohol,Madein_city,Madein_country,Brand,Sugar,Sweetness,Style1,Style2,Variety,Pic_src,Featured_wines,Recomm_foods
V559690,205.85,Château Le Bon Pasteur 2015,"This is very powerful and bright with lots of mineral, salt and white pepper character. Full body, velvety tannins. Velvety texture. 70% of this is made in barrel. A small percentage of co-fermentation of merlot and cabernet franc. 80% merlot. Racy winemaking. Showing more finesse in tannins compared to the past. Wow. Score - 95-96. (James Suckling, jamessuckling.com, April 29, 2016)",750,13.0,Bordeaux,France,Ulysse Cazabonne,,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V667675,169.0,Château Le Bon Pasteur 2016,"Reminds me of the splendid 1998. Full-bodied yet balanced and rich, showing velvety tannins and a long and beautiful finish. All here. Better than the 2015? Score - 96-97. (James Suckling, jamessuckling.com, April 4, 2017)",750,14.5,Bordeaux,France,Joanne Bordeaux,4.0,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V633891,51.95,Château Le Boscq 2015,"The rich wood and fruit of this wine already show good balance. The estate, owned by Bordeaux negociant Dourthe, is now on excellent form with this structured wine offering concentration and long-term aging. The tannins and the dry core from roughly equal proportions of Cabernet Sauvignon and Merlot and a pinch of Petit Verdot promise great potential. Drink from 2025. Cellar Selection.  Score - 93. (Roger Voss, Wine Enthusiast, April 1, 2018)",750,13.7,Bordeaux,France,Dourthe Freres,4.0,XD - Extra Dry,Firm,Full-bodied,Cabernet Sauvignon/Merlot,https://www.lcbo.com/content/dam/lcbo/products/633891.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V45682,72.95,Château Le Caillou 2015,"Pristine dark plums and blackberries with a sheen of stylishly applied oak spices. The palate has impressive richness and flavor amid smoothly polished tannins and a fresh, red-plum finish. Bright and balanced. Try from 2021. Score - 93. (James Suckling, jamessuckling.com, Feb. 2, 2018)",750,12.5,Bordeaux,France,"Giraud-Bélivier, prop.",4.0,XD - Extra Dry,Fruity,Medium-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/045682.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V416735,24.95,Château Le Doyenné 2011,"This rounded, full wine is densely packed with fruit, but also tannins that add balance. Blackberry flavors come through the dry structure to give both richness and freshness. The aftertaste is ripe, juicy and delicious. Drink now, but best from 2015. Editors' Choice. Score - 91. (Roger Voss, Wine Enthusiast, Feb. 2014)",750,14.0,Bordeaux,France,Chateau De Malle,4.0,XD - Extra Dry,Smooth,Full-bodied,Merlot/Cabernet Sauvignon/Cabernet Franc,https://www.lcbo.com/content/dam/lcbo/products/416735.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V224592,15.95,Château Le Grand Retour Plan de Dieu Côtes du Rhône-Villages 2016,"Tremendous value under $18 from Aubert Frères, Château Le Grand Retour Plan De Dieu 2016 is a juicy red blend of 60% Grenache, 30% Syrah and 10% Mourvèdre grapes. Nice spicy nose of ripe black fruits and smoke, with dark cherry, savoury herbs and spicy flavours on the palate. Tannins are firm and there is great acidity on this robust red for food. Pair with a prime rib roast. Drink: 2019-2023. Score - 90. (Natalie MacLean, nataliemaclean.com, Feb. 28, 2019)",750,14.5,Rhône,France,Sarl Aubert,5.0,XD - Extra Dry,Firm,Full-bodied,Grenache/Syrah/Mourvèdre,https://www.lcbo.com/content/dam/lcbo/products/224592.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V388330,19.95,Château Le Grand Verdus Réserve 2016,"60% Merlot, 40% Cabernet Sauvignon. Exceptionally good price-quality ratio. Deep in colour with liquorice, cedar, and damson characters; and good fruit throughout. Fresh on the finish.  Score - 90. (Decanter World Wine Awards, 2018)",750,13.5,Bordeaux,France,Philippe et Antoine le Grix de la Salle,5.0,XD - Extra Dry,Fruity,Medium-bodied,Merlot Blend,https://www.lcbo.com/content/dam/lcbo/products/388330.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V557868,118.0,Château Le Moulin 2009,"A classic wine from this estate, whose wines can be somewhat exotic in a rather le Pin-like style, the 2009 is opaque ruby/purple, with notes of blackberry and black cherry fruit, an opulent, full-bodied mouthfeel, and loads of generosity and glycerin. There are also hints of herbs and Asian spices in this fleshy wine, which is meant for consumption over the next 10-15 years. Drink Date: 2012-2027. Score - 92. (Robert Parker Jr., robertparker.com, Dec. 22, 2011)",750,13.0,Bordeaux,France,Thunevin Sas,4.0,XD - Extra Dry,,,Bordeaux Red,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V171090,16.95,Château Le Peyrat 2017,"Castillon is fundamentally an extension of the geography of Saint-Émilion. This affords the wines some characteristics of their more renowned neighbour. This one from 2017 is rich and complex with great depth and presence. Smoky black fruit, cassis, herbs, earth and chalky tannins make for a thoroughly satisfying wine. A great value, and a sure-fire hit when served with lamb or beef casserole. (Vintages panel, April 2019)",750,13.5,Bordeaux,France,"PL Valade, prop.",5.0,D - Dry,Firm,Full-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/171090.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V557660,31.95,Château le Puy Emilien 2015,"You have got to get hold of this brilliant value wine. Really, it has the most beautifully plump ripe fruit, practically bursting out of the glass but with excellent tension and balance. Utterly delicious, and my pick over the also excellent 2016. A low 30hl/ha yield in a relatively dry year - 593mm of rain overall at this spot, which is particularly low for Bordeaux. As with almost every vintage here, the blend is around 85% Merlot, with the rest a mix of Cabernet Franc, Cabernet Sauvignon, Malbec and Carmenere. Drinking Window: 2020-2040. Score - 94. (Jane Anson, decanter.com, Oct. 8, 2017)",750,13.2,Bordeaux,France,Sarl Jp & P Amoreau,4.0,XD - Extra Dry,Firm,Full-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/557660.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V667915,375.0,Château Les Carmes Haut-Brion 2016,"The 2016 Les Carmes Haut Brion is a blend of 41% Cabernet Franc, 20% Cabernet Sauvignon and 39% Merlot, with 13.8% alcohol and a pH of 3.55, the lowest acidity for many years. It was vinified in their Philippe Starck-designed 'submarine' (this is what their aesthetically arresting winery looks like as it surfaces in the Bordeaux city suburbs!) with 48% whole berry fruit. Winemaker Guillaume Pouthier (ex-Chapoutier) showed me a large inflatable ring used to submerge the cap to create more of an 'infusion' rather than a maceration. The 2016 is matured in 65% new oak, 30% one year old and 5% in amphora. It has a very pure, very attractive bouquet with ample blackberry, boysenberry, blueberry and fresh fig aromas, a little more extravagant than some other Pessac-Léognan 2016s, yet it maintains impressive control and focus. It develops more pressed flower aromas with time. The palate is medium-bodied with tannins that gently grip the mouth, tertiary notes on the entry, fine acidity vis-à-vis the fruit, then a slight tarriness towards the broody black fruit on the saline, marine-influenced finish. It is an intriguing take on the vintage, classic in style like many others, detailed with impressive complexity. You know, it is not a million miles away from Lafleur in Pomerol, but in the same sense, it will require a decade in bottle to show what it can do. It is a new benchmark for this estate with big ambitions. Tasted twice with consistent notes. Drink Date: 2026-2050. Score - 95-97. (Neal Martin, robertparker.com, April 28, 2017)",750,13.5,Bordeaux,France,Nath. Johnston & Fils,,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V297267,24.95,Château Les Hauts de Palette 2014,"Once again, Jean-Christophe Yung showcases his expertise with this 2014 wine produced on land that his family farmed as tenants for 18 years before purchasing it in 1992 to then renovate and expand their winery. This blend of Merlot (60%) and two types of Cabernets is deep crimson with an expressive bouquet of ripe red fruits and blueberry combined effortlessly with vanilla, licorice and toasty notes inherited from 12 months of barrel aging. A round, supple palate with volume that is silky from start to finish is accompanied by quality tannins. A refined wine. Coup de Coeur. Score - 2 Stars (out of 3). (Guide Hachette, 2017)",750,12.5,Bordeaux,France,Charles Yung et Fils,2.0,D - Dry,Fruity,Medium-bodied,Merlot/Cabernet Sauvignon,https://www.lcbo.com/content/dam/lcbo/products/297267.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V648295,69.95,Château Les Ormes 2010,"The 2010 Château Les Ormes is showing absolutely outstanding, delivering seductive aromas of fresh blackberries, dark cherries, tobacco, graphite, smoky ash and spring floral that all come together beautifully in this blend of 60% Cabernet Sauvignon, 40% Merlot. It impresses for its wonderful structure and gorgeous plush texture, demonstrating remarkable depth and focus. This is the third time tasting this wine and it is evolving better than expected, and should only continue to do so for years to come ... Best 2014-2021. Score - 93. (Joe D'Angelo, internationalwinereport.com, Aug. 2014)",750,13.6,Bordeaux,France,Borderac Crus Et Vins,3.0,XD - Extra Dry,Fruity,Medium-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/648295.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V659060,124.95,Château Les Ormes de Pez,,750,12.5,Bordeaux,France,Nath. Johnston & Fils,3.0,,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V347575,62.0,Château Les Ormes de Pez 2012,"Barrel sample. This powerful wine is dense with rich tannins and black fruits that are balanced. Full and concentrated, it's a wine with great potential. Score - 94. (Roger Voss, Wine Enthusiast, April 11, 2013)",750,13.0,Bordeaux,France,Barriere Freres,3.0,XD - Extra Dry,Smooth,Full-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V386805,54.85,Château Les Ormes de Pez 2013,"Fresh purple-red, nicely expressed fruit on nose and palate and good tannins for the mid term. Drink: 2017-2027. Score - 88. (Steven Spurrier, decanter.com)",750,13.0,Bordeaux,France,Nath. Johnston & Fils,3.0,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
